ID,idhspid,dhsid,mean_pn,num
187,85401        17 5  2,BF199300000017,89.20611111111111,9
188,85401        17 5  2,BF199300000017,72.13555555555556,9
189,85401        17 6  2,BF199300000017,50.20177777777778,9
190,85401        17 8  2,BF199300000017,69.70911111111111,9
191,85401        1713  2,BF199300000017,84.12788888888889,9
192,85401        1714  2,BF199300000017,38.806555555555555,9
193,85401        1716 14,BF199300000017,59.64422222222222,9
194,85401        1718  2,BF199300000017,71.10811111111111,9
195,85401        18 5  2,BF199300000018,89.19288888888889,9
196,85401        18 6  2,BF199300000018,89.19288888888889,9
197,85401        18 7  2,BF199300000018,75.23344444444444,9
198,85401        18 8  2,BF199300000018,0.4886666666666667,3
199,85401        18 9  2,BF199300000018,85.29888888888888,9
200,85401        1812  2,BF199300000018,83.82333333333334,9
201,85401        1810  2,BF199300000018,54.32866666666666,9
202,85401        1815  2,BF199300000018,24.194444444444446,9
203,85401        1815  2,BF199300000018,72.13555555555556,9
204,85401        1816  6,BF199300000018,37.13077777777778,9
206,85401        19 1  3,BF199300000019,47.18377777777778,9
207,85401        1911  2,BF199300000019,71.10811111111111,9
208,85401        19 2  3,BF199300000019,38.75277777777777,9
209,85401        19 4  2,BF199300000019,84.12788888888889,9
210,85401        19 4  2,BF199300000019,84.12788888888889,9
211,85401        19 5  2,BF199300000019,84.12788888888889,9
212,85401        19 6  2,BF199300000019,60.47422222222222,9
213,85401        1913  2,BF199300000019,76.56222222222222,9
214,85401        1914  1,BF199300000019,84.03166666666667,9
216,85401        1914  2,BF199300000019,82.79833333333333,9
217,85401        20 1  6,BF199300000020,82.79833333333333,9
218,85401        20 7  2,BF199300000020,39.70144444444445,9
219,85401        20 7  2,BF199300000020,58.471888888888884,9
220,85401        2011  2,BF199300000020,74.47677777777778,9
221,85401        2011  2,BF199300000020,7.578666666666667,6
222,85401        2015  2,BF199300000020,21.945555555555558,9
223,85401        2015  2,BF199300000020,85.29888888888888,9
224,85401        2016  2,BF199300000020,82.79833333333333,9
225,85401        2016  2,BF199300000020,71.08911111111111,9
