ID,idhspid,dhsid,mean_pn,num
1,85401         1 2  6,BF199300000001,34.885714285714286,9
2,85401         1 5 12,BF199300000001,34.885714285714286,9
3,85401         1 6  2,BF199300000001,34.885714285714286,2
4,85401         113  2,BF199300000001,34.885714285714286,9
5,85401         113  2,BF199300000001,34.885714285714286,9
7,85401         2 1 12,BF199300000002,34.885714285714286,1
8,85401         2 1 15,BF199300000002,34.885714285714286,4
9,85401         2 1 17,BF199300000002,34.885714285714286,9
10,85401         2 1 21,BF199300000002,34.885714285714286,9
11,85401         2 3 10,BF199300000002,34.885714285714286,9
12,85401         2 6  2,BF199300000002,34.885714285714286,9
13,85401         2 9  2,BF199300000002,34.885714285714286,9
14,85401         210  5,BF199300000002,34.885714285714286,9
15,85401         210  5,BF199300000002,34.885714285714286,9
16,85401         211  2,BF199300000002,34.885714285714286,9
17,85401         211  2,BF199300000002,34.885714285714286,1
18,85401         214  2,BF199300000002,34.885714285714286,6
19,85401         215  2,BF199300000002,34.885714285714286,9
20,85401         216  2,BF199300000002,34.885714285714286,9
21,85401         218  2,BF199300000002,34.885714285714286,4
22,85401         218 13,BF199300000002,34.885714285714286,9
23,85401         218 19,BF199300000002,34.885714285714286,9
26,85401         219  5,BF199300000002,34.885714285714286,9
27,85401         220  2,BF199300000002,34.885714285714286,9
28,85401         3 1  2,BF199300000003,34.885714285714286,9
29,85401         3 3  2,BF199300000003,34.885714285714286,9
30,85401         3 3  2,BF199300000003,34.885714285714286,4
31,85401         3 6  2,BF199300000003,34.885714285714286,9
32,85401         3 8  1,BF199300000003,34.885714285714286,9
33,85401         3 8 12,BF199300000003,34.885714285714286,9
34,85401         3 8 14,BF199300000003,34.885714285714286,9
35,85401         3 9  2,BF199300000003,34.885714285714286,9
37,85401         311  3,BF199300000003,34.885714285714286,9
38,85401         312  2,BF199300000003,34.885714285714286,9
39,85401         312  2,BF199300000003,34.885714285714286,3
40,85401         314  4,BF199300000003,34.885714285714286,9
41,85401         317  3,BF199300000003,34.885714285714286,9
42,85401         317  6,BF199300000003,34.885714285714286,9
43,85401         4 1  2,BF199300000004,34.885714285714286,9
44,85401         4 1  9,BF199300000004,34.885714285714286,9
46,85401         4 4  2,BF199300000004,34.885714285714286,6
47,85401         4 5  2,BF199300000004,34.885714285714286,9
48,85401         4 7  3,BF199300000004,34.885714285714286,9
50,85401         4 8  2,BF199300000004,34.885714285714286,9
52,85401         410  2,BF199300000004,34.885714285714286,9
53,85401         416  2,BF199300000004,34.885714285714286,9
54,85401         417  9,BF199300000004,34.885714285714286,9
55,85401         417  9,BF199300000004,34.885714285714286,8
56,85401         420  2,BF199300000004,34.885714285714286,9
57,85401         420  2,BF199300000004,34.885714285714286,9
58,85401         420  5,BF199300000004,34.885714285714286,9
59,85401         422  3,BF199300000004,34.885714285714286,9
60,85401         425  2,BF199300000004,34.885714285714286,9
61,85401         5 1  2,BF199300000005,34.885714285714286,9
62,85401         5 2  2,BF199300000005,34.885714285714286,9
63,85401         5 6  2,BF199300000005,34.885714285714286,9
64,85401         5 6 10,BF199300000005,34.885714285714286,9
65,85401         511  2,BF199300000005,34.885714285714286,9
66,85401         511  2,BF199300000005,34.885714285714286,9
67,85401         512  1,BF199300000005,34.885714285714286,9
68,85401         517  3,BF199300000005,34.885714285714286,9
69,85401         517 11,BF199300000005,34.885714285714286,1
70,85401         6 1 12,BF199300000006,34.885714285714286,9
71,85401         6 7  2,BF199300000006,34.885714285714286,9
72,85401         610  2,BF199300000006,34.885714285714286,9
